query,dateSearch,price,thumbnail,permalink,seller,source
6949509205971,2024-10-31,3290.0,http://http2.mlstatic.com/D_989683-MLC74796937647_022024-I.jpg,https://articulo.mercadolibre.cl/MLC-1466527507-broca-sds-plus-1-2-aristas-12x150x210mm-bosch-_JM,"{'id': 1068794646, 'nickname': 'HERRAM SPA'}",Meli
6949509205971,2024-10-31,5090.0,http://http2.mlstatic.com/D_811383-MLC69823594260_062023-I.jpg,https://articulo.mercadolibre.cl/MLC-1391450987-broca-sds-plus-1-bosch-12-x-210-x-150-mm-hormigon-_JM,"{'id': 1090220773, 'nickname': 'VIÑA_CENTROARRIENDO'}",Meli
6949509205971,2024-10-31,5050.0,http://http2.mlstatic.com/D_774873-MLC78804253244_092024-I.jpg,https://articulo.mercadolibre.cl/MLC-1519767597-broca-sds-plus-1-bosch-12-x-210-x-150-mm-hormigon-_JM,"{'id': 1805723375, 'nickname': 'TOTALMETALLTDA'}",Meli
6949509205988,2024-10-31,3820.0,http://http2.mlstatic.com/D_689521-MLC74667306036_022024-I.jpg,https://articulo.mercadolibre.cl/MLC-1466528791-broca-sds-plus-1-2-aristas-12x200x260mm-bosch-_JM,"{'id': 1068794646, 'nickname': 'HERRAM SPA'}",Meli
6949509205988,2024-10-31,7530.0,http://http2.mlstatic.com/D_857853-MLC79041126515_092024-I.jpg,https://articulo.mercadolibre.cl/MLC-1519705337-broca-sds-plus-1-bosch-12-x-260-x-200-mm-hormigon-_JM,"{'id': 1805723375, 'nickname': 'TOTALMETALLTDA'}",Meli
6949509205988,2024-10-31,7990.0,http://http2.mlstatic.com/D_604243-MLC69823589524_062023-I.jpg,https://articulo.mercadolibre.cl/MLC-1723728854-broca-sds-plus-1-bosch-12-x-260-x-200-mm-hormigon-_JM,"{'id': 1090220773, 'nickname': 'VIÑA_CENTROARRIENDO'}",Meli
6949509206015,2024-10-31,4430.0,http://http2.mlstatic.com/D_654601-MLC74797008447_022024-I.jpg,https://articulo.mercadolibre.cl/MLC-2297204884-broca-sds-plus-1-2-aristas-14x150x210mm-bosch-_JM,"{'id': 1068794646, 'nickname': 'HERRAM SPA'}",Meli
6949509206046,2024-10-31,4960.0,http://http2.mlstatic.com/D_745940-MLC74666999098_022024-I.jpg,https://articulo.mercadolibre.cl/MLC-2297193068-broca-sds-plus-1-2-aristas-16x150x210mm-bosch-_JM,"{'id': 1068794646, 'nickname': 'HERRAM SPA'}",Meli
6949509206053,2024-10-31,5860.0,http://http2.mlstatic.com/D_970184-MLC74667051022_022024-I.jpg,https://articulo.mercadolibre.cl/MLC-2297255352-broca-sds-plus-1-2-aristas-16x250x310mm-bosch-_JM,"{'id': 1068794646, 'nickname': 'HERRAM SPA'}",Meli
6949509206107,2024-10-31,29950.0,http://http2.mlstatic.com/D_972550-MLC74667184362_022024-I.jpg,https://articulo.mercadolibre.cl/MLC-2297205954-broca-sds-plus-1-2-aristas-20x400x460mm-bosch-_JM,"{'id': 1068794646, 'nickname': 'HERRAM SPA'}",Meli
6949509206107,2024-10-31,27831.0,http://http2.mlstatic.com/D_633027-MLC50699144054_072022-I.jpg,https://articulo.mercadolibre.cl/MLC-1022600844-broca-concreto-20mm-sds-plus-400460-bosch-mimbral-_JM,"{'id': 539695577, 'nickname': 'FERRETERIA MIMBRAL'}",Meli
6949509206107,2024-10-31,24000.0,http://http2.mlstatic.com/D_945982-MLC46391041985_062021-I.jpg,https://articulo.mercadolibre.cl/MLC-620777399-broca-sds-plus-20x450-mm-bosch-_JM,"{'id': 65988148, 'nickname': 'K.MUSTANG'}",Meli
6949509206121,2024-10-31,18390.0,http://http2.mlstatic.com/D_623690-MLC74797295929_022024-I.jpg,https://articulo.mercadolibre.cl/MLC-2297255744-broca-sds-plus-1-2-aristas-22x400x460mm-bosch-_JM,"{'id': 1068794646, 'nickname': 'HERRAM SPA'}",Meli
6949509206145,2024-10-31,18390.0,http://http2.mlstatic.com/D_610060-MLC74667212348_022024-I.jpg,https://articulo.mercadolibre.cl/MLC-2297244094-broca-sds-plus-1-2-aristas-25x400x460mm-bosch-_JM,"{'id': 1068794646, 'nickname': 'HERRAM SPA'}",Meli
6949509232397,2024-10-31,5670.0,http://http2.mlstatic.com/D_975972-MLC73678950364_012024-I.jpg,https://articulo.mercadolibre.cl/MLC-2199335294-broca-para-porcelanato-expert-hex-9-hardceramic-3-x-90mm-b-_JM,"{'id': 1068794646, 'nickname': 'HERRAM SPA'}",Meli
6949509232403,2024-10-31,5730.0,http://http2.mlstatic.com/D_744801-MLC73775670691_012024-I.jpg,https://articulo.mercadolibre.cl/MLC-2199258488-broca-para-porcelanato-expert-hex-9-hardceramic-4-x-90mm-b-_JM,"{'id': 1068794646, 'nickname': 'HERRAM SPA'}",Meli
6949509232410,2024-10-31,5750.0,http://http2.mlstatic.com/D_690676-MLU79086220022_092024-I.jpg,https://www.mercadolibre.cl/broca-pporcelanato-bosch-expert-5x90mm/p/MLC36924881,"{'id': 1068794646, 'nickname': 'HERRAM SPA'}",Meli
6949509232410,2024-10-31,5750.0,http://http2.mlstatic.com/D_767995-MLC73679446412_012024-I.jpg,https://articulo.mercadolibre.cl/MLC-2199258676-broca-para-porcelanato-expert-hex-9-hardceramic-5-x-90mm-b-_JM,"{'id': 1068794646, 'nickname': 'HERRAM SPA'}",Meli
6949509232427,2024-10-31,5780.0,http://http2.mlstatic.com/D_924083-MLC73679649100_012024-I.jpg,https://articulo.mercadolibre.cl/MLC-2199233338-broca-para-porcelanato-expert-hex-9-hardceramic-6-x-90mm-b-_JM,"{'id': 1068794646, 'nickname': 'HERRAM SPA'}",Meli
6949509232441,2024-10-31,6240.0,http://http2.mlstatic.com/D_727024-MLC73679831708_012024-I.jpg,https://articulo.mercadolibre.cl/MLC-2199464158-broca-para-porcelanato-expert-hex-9-hardceramic-8-x-90mm-b-_JM,"{'id': 1068794646, 'nickname': 'HERRAM SPA'}",Meli
6949509232458,2024-10-31,7780.0,http://http2.mlstatic.com/D_848611-MLC73776176665_012024-I.jpg,https://articulo.mercadolibre.cl/MLC-2199234442-broca-para-porcelanato-expert-hex-9-hardceramic-10-x-90mm--_JM,"{'id': 1068794646, 'nickname': 'HERRAM SPA'}",Meli
6949509232465,2024-10-31,10180.0,http://http2.mlstatic.com/D_926802-MLC73679973484_012024-I.jpg,https://articulo.mercadolibre.cl/MLC-2199273456-broca-para-porcelanato-expert-hex-9-hardceramic-12-x-90mm--_JM,"{'id': 1068794646, 'nickname': 'HERRAM SPA'}",Meli
3165140690546,2024-10-31,14006.0,http://http2.mlstatic.com/D_601651-MLU76556682178_052024-I.jpg,https://www.mercadolibre.cl/juego-de-broca-bosch-cyl-5-3und/p/MLC37373959,"{'id': 1508815172, 'nickname': 'ROBERTBOSCHPOWER_TOOLS2023'}",Meli
3165140690546,2024-10-31,14006.0,http://http2.mlstatic.com/D_768951-MLC74062195093_012024-I.jpg,https://articulo.mercadolibre.cl/MLC-1457057299-juego-de-broca-bosch-cyl-5-3und-_JM,"{'id': 1508815172, 'nickname': 'ROBERTBOSCHPOWER_TOOLS2023'}",Meli
4059952539232,2024-10-31,12850.0,http://http2.mlstatic.com/D_736413-MLC78299129082_082024-I.jpg,https://articulo.mercadolibre.cl/MLC-2331565106-broca-expert-cyl-9-multiconstruction-11x90x150mm-bosch-_JM,"{'id': 1068794646, 'nickname': 'HERRAM SPA'}",Meli
4059952539232,2024-10-31,12850.0,http://http2.mlstatic.com/D_761212-MLC79325223389_092024-I.jpg,https://articulo.mercadolibre.cl/MLC-1402621889-broca-expert-cyl-9-multiconstruction-11x90x150mm-bosch-_JM,"{'id': 1068794646, 'nickname': 'HERRAM SPA'}",Meli
4059952539423,2024-10-31,18650.0,http://http2.mlstatic.com/D_622789-MLC77682965270_072024-I.jpg,https://articulo.mercadolibre.cl/MLC-1402635291-set-4-brocas-expert-cyl-9-multiconstruction-4-5-6-8mm-_JM,"{'id': 1068794646, 'nickname': 'HERRAM SPA'}",Meli
4059952539423,2024-10-31,18990.0,http://http2.mlstatic.com/D_647470-MLC73022276363_112023-I.jpg,https://articulo.mercadolibre.cl/MLC-1442694969-broca-expert-cyl9-multiconstruction-4-piezas-bosch-_JM,"{'id': 539695577, 'nickname': 'FERRETERIA MIMBRAL'}",Meli
4059952538624,2024-10-31,5450.0,http://http2.mlstatic.com/D_845219-MLC79113678010_092024-I.jpg,https://articulo.mercadolibre.cl/MLC-1402621499-broca-expert-hex-9-multiconstruction-3-x-45-x-90mm-bosch-_JM,"{'id': 1068794646, 'nickname': 'HERRAM SPA'}",Meli
4059952538631,2024-10-31,5450.0,http://http2.mlstatic.com/D_918117-MLC79113456524_092024-I.jpg,https://articulo.mercadolibre.cl/MLC-1402610835-broca-expert-hex-9-multiconstruction-4-x-45-x-90mm-bosch-_JM,"{'id': 1068794646, 'nickname': 'HERRAM SPA'}",Meli
4059952538679,2024-10-31,6130.0,http://http2.mlstatic.com/D_987200-MLC74035024925_012024-I.jpg,https://articulo.mercadolibre.cl/MLC-1456666781-broca-expert-hex-9-multiconstruction-6-x-60-x-100-mm-bosch-_JM,"{'id': 1068794646, 'nickname': 'HERRAM SPA'}",Meli
4059952538761,2024-10-31,13600.0,http://http2.mlstatic.com/D_920246-MLC79113523510_092024-I.jpg,https://articulo.mercadolibre.cl/MLC-1402561967-broca-expert-hex-9-multiconstruction-12x90x150mm-bosch-_JM,"{'id': 1068794646, 'nickname': 'HERRAM SPA'}",Meli
3165140434799,2024-10-31,1860.0,http://http2.mlstatic.com/D_673397-MLU76348161005_052024-I.jpg,https://www.mercadolibre.cl/bosch-2608590066-brocas-para-piedra-cyl-1-18-x2-12/p/MLC36878482,"{'id': 831991615, 'nickname': 'EBERLEIN.CL'}",Meli
3165140434799,2024-10-31,1860.0,http://http2.mlstatic.com/D_960035-MLC54785375534_032023-I.jpg,https://articulo.mercadolibre.cl/MLC-1479915572-broca-concreto-cyl-1-3x60x30mm-bosch-_JM,"{'id': 831991615, 'nickname': 'EBERLEIN.CL'}",Meli
3165140434799,2024-10-31,2084.0,http://http2.mlstatic.com/D_998884-MLC71901634138_092023-I.jpg,https://articulo.mercadolibre.cl/MLC-1427028523-broca-para-concreto-3x60mm-cyl-1-bosch-_JM,"{'id': 539695577, 'nickname': 'FERRETERIA MIMBRAL'}",Meli
